+---------------------+------------------------+----------------+-----------+-----------------+----------------+----------------+--------------------+
|       ResNet50      |       layer name       | Neuron numbers |  MACs (M) |    Parameters   |  Input shape   |  Output shape  |       Kernel       |
| conv4_block5_1_conv |         Conv2D         |     50176      |   51.43   |      262400     | (14, 14, 1024) | (14, 14, 256)  |       (1, 1)       |
|  conv4_block5_1_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block5_2_conv |         Conv2D         |     50176      |   115.66  |      590080     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
|  conv4_block5_2_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block5_3_conv |         Conv2D         |     200704     |   51.58   |      263168     | (14, 14, 256)  | (14, 14, 1024) |       (1, 1)       |
|  conv4_block5_3_bn  |   BatchNormalization   |     200704     |    0.4    |       4096      | (14, 14, 1024) | (14, 14, 1024) |         -          |
| conv4_block6_1_conv |         Conv2D         |     50176      |   51.43   |      262400     | (14, 14, 1024) | (14, 14, 256)  |       (1, 1)       |
|  conv4_block6_1_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block6_2_conv |         Conv2D         |     50176      |   115.66  |      590080     | (14, 14, 256)  | (14, 14, 256)  |       (3, 3)       |
|  conv4_block6_2_bn  |   BatchNormalization   |     50176      |    0.1    |       1024      | (14, 14, 256)  | (14, 14, 256)  |         -          |
| conv4_block6_3_conv |         Conv2D         |     200704     |   51.58   |      263168     | (14, 14, 256)  | (14, 14, 1024) |       (1, 1)       |
|  conv4_block6_3_bn  |   BatchNormalization   |     200704     |    0.4    |       4096      | (14, 14, 1024) | (14, 14, 1024) |         -          |
| conv5_block1_1_conv |         Conv2D         |     25088      |   25.72   |      524800     | (14, 14, 1024) |  (7, 7, 512)   |       (1, 1)       |
|  conv5_block1_1_bn  |   BatchNormalization   |     25088      |    0.05   |       2048      |  (7, 7, 512)   |  (7, 7, 512)   |         -          |
| conv5_block1_2_conv |         Conv2D         |     25088      |   115.63  |     2359808     |  (7, 7, 512)   |  (7, 7, 512)   |       (3, 3)       |
|  conv5_block1_2_bn  |   BatchNormalization   |     25088      |    0.05   |       2048      |  (7, 7, 512)   |  (7, 7, 512)   |         -          |
| conv5_block1_0_conv |         Conv2D         |     100352     |   102.86  |     2099200     | (14, 14, 1024) |  (7, 7, 2048)  |       (1, 1)       |
| conv5_block1_3_conv |         Conv2D         |     100352     |   51.48   |     1050624     |  (7, 7, 512)   |  (7, 7, 2048)  |       (1, 1)       |
|  conv5_block1_0_bn  |   BatchNormalization   |     100352     |    0.2    |       8192      |  (7, 7, 2048)  |  (7, 7, 2048)  |         -          |
|  conv5_block1_3_bn  |   BatchNormalization   |     100352     |    0.2    |       8192      |  (7, 7, 2048)  |  (7, 7, 2048)  |         -          |
